Date,Selection (raw),VolTargeting adj,Transaction Cost drag,Net
2011-06-27,3.6237833290542003,2.7441331612225284,-0.04495500000000001,2.7890881612225282
2011-06-28,3.710019425746303,2.7860462727003465,-0.04495500000000001,2.8310012727003464
2011-06-29,3.743822418321984,2.8017624479935375,-0.04495500000000001,2.8467174479935373
2011-06-30,3.7901722242944595,2.824828844000782,-0.04522500000000001,2.8700538440007817
2011-07-01,3.870777245053743,2.8643070817061558,-0.04522500000000001,2.9095320817061556
2011-07-05,3.893404549736749,2.875304015032861,-0.04522500000000001,2.920529015032861
2011-07-06,3.91071286584954,2.88415544701234,-0.04522500000000001,2.9293804470123397
2011-07-07,3.964456082271753,2.911605396869117,-0.04522500000000001,2.9568303968691168
2011-07-08,3.9397983123075377,2.89890677549364,-0.04522500000000001,2.94413177549364
2011-07-11,3.8216358315244445,2.838579207315235,-0.04522500000000001,2.883804207315235
2011-07-12,3.78420773973731,2.8203226222518936,-0.04522500000000001,2.8655476222518934
2011-07-13,3.810819808958481,2.8332342544672184,-0.04522500000000001,2.8784592544672183
2011-07-14,3.7541517356555456,2.8045544475088824,-0.04522500000000001,2.8497794475088822
2011-07-15,3.783091856092942,2.8198917060792508,-0.04522500000000001,2.8651167060792506
2011-07-18,3.7329642906559126,2.7930559431509927,-0.04522500000000001,2.8382809431509926
2011-07-19,3.833574823070542,2.84525997196032,-0.04522500000000001,2.89048497196032
2011-07-20,3.8122198502327524,2.834792254127497,-0.04522500000000001,2.880017254127497
2011-07-21,3.8483779011517587,2.854205342897679,-0.04522500000000001,2.899430342897679
2011-07-22,3.86954918910697,2.865569765025738,-0.04522500000000001,2.910794765025738
2011-07-25,3.831983141084306,2.845446001076525,-0.04522500000000001,2.890671001076525
2011-07-26,3.8145873945066784,2.8359987276556367,-0.04522500000000001,2.8812237276556365
2011-07-27,3.694354228747141,2.7704108799797216,-0.04522500000000001,2.8156358799797214
2011-07-28,3.6828507653186424,2.764508638041613,-0.04522500000000001,2.809733638041613
2011-07-29,3.6693134019057236,2.7574912299630645,-0.045555000000000005,2.8030462299630643
2011-08-01,3.6455609878286968,2.7449122333273346,-0.045555000000000005,2.7904672333273344
2011-08-02,3.473878934876981,2.6474488394564815,-0.045555000000000005,2.6930038394564813
2011-08-03,3.50855644520116,2.663912345193429,-0.045555000000000005,2.7094673451934286
2011-08-04,3.2188603357172356,2.5284883320438896,-0.045555000000000005,2.5740433320438894
2011-08-05,3.182808858835079,2.515895391671967,-0.045555000000000005,2.5614503916719666
2011-08-08,2.8219587289847805,2.3891282838999364,-0.045555000000000005,2.434683283899936
2011-08-09,3.076968493209165,2.4583196799934166,-0.045555000000000005,2.5038746799934164
2011-08-10,2.926768043513957,2.4262106736341105,-0.045555000000000005,2.4717656736341103
2011-08-11,3.139153230169798,2.472152887873199,-0.045555000000000005,2.5177078878731987
2011-08-12,3.212078269372175,2.485960715492437,-0.045555000000000005,2.5315157154924366
2011-08-15,3.301599863103104,2.5025319774708543,-0.045555000000000005,2.548086977470854
2011-08-16,3.225482670609587,2.4888647689755388,-0.045555000000000005,2.5344197689755386
2011-08-17,3.2034339543417643,2.4848033294799885,-0.045555000000000005,2.5303583294799883
2011-08-18,2.933995580320181,2.4349674241598054,-0.045555000000000005,2.480522424159805
2011-08-19,2.8458825266596857,2.4187980007330814,-0.045555000000000005,2.464353000733081
2011-08-22,2.845754823041617,2.418774107604228,-0.045555000000000005,2.464329107604228
2011-08-23,3.0316095032159183,2.453475739310879,-0.045555000000000005,2.4990307393108786
2011-08-24,3.0903635776902334,2.4634316449163904,-0.045555000000000005,2.5089866449163902
2011-08-25,3.0089486430565255,2.449829928938155,-0.045555000000000005,2.495384928938155
2011-08-26,3.127222301190405,2.469856672366069,-0.045555000000000005,2.515411672366069
2011-08-29,3.2846033554467065,2.4953523108344804,-0.045555000000000005,2.54090731083448
2011-08-30,3.316043191499472,2.500156101401147,-0.045555000000000005,2.545711101401147
2011-08-31,3.338599988611067,2.5036429758101097,-0.04599,2.54963297581011
2011-09-01,3.2922262634627097,2.4965002693733807,-0.04599,2.542490269373381
2011-09-02,3.1822471244171684,2.4781960026726026,-0.04599,2.524186002672603
2011-09-06,3.170553277342595,2.4762312194658573,-0.04599,2.5222212194658575
2011-09-07,3.3044484925657036,2.5028428999551124,-0.04599,2.5488328999551126
2011-09-08,3.276485189236009,2.4969352612685434,-0.04599,2.5429252612685436
2011-09-09,3.153878012864329,2.4696278296047995,-0.04599,2.5156178296047997
2011-09-12,3.179585244506428,2.4758227429006663,-0.04599,2.5218127429006665
2011-09-13,3.2479694485358204,2.4923915072675418,-0.04599,2.538381507267542
2011-09-14,3.317634516456491,2.509194325867074,-0.04599,2.5551843258670743
2011-09-15,3.370335004402092,2.5217995796031305,-0.04599,2.5677895796031307
2011-09-16,3.39130311120328,2.5267614128567195,-0.04599,2.5727514128567197
2011-09-19,3.3738677570641267,2.5216614984853116,-0.04599,2.567651498485312
2011-09-20,3.323218079579947,2.5061522072447096,-0.04599,2.5521422072447097
2011-09-21,3.1991840200646386,2.468558898220373,-0.04599,2.514548898220373
2011-09-22,3.03529911292346,2.4150297930342908,-0.04599,2.461019793034291
2011-09-23,3.0561950326687732,2.4214339610753233,-0.04599,2.4674239610753235
2011-09-26,3.1366069131261867,2.446547945152654,-0.04599,2.4925379451526544
2011-09-27,3.1860260773149145,2.462238968216646,-0.04599,2.5082289682166463
2011-09-28,3.0628037777918733,2.419636070355518,-0.04599,2.465626070355518
2011-09-29,3.0431628043283494,2.413055164403541,-0.04599,2.459045164403541
2011-09-30,2.927896305174561,2.374142319059386,-0.046335,2.420477319059386
2011-10-03,2.7864242585565173,2.3273518378937283,-0.046335,2.3736868378937284
2011-10-04,2.9063093952786136,2.3665462597343834,-0.046335,2.4128812597343834
2011-10-05,2.988870588711721,2.391199961130579,-0.046335,2.437534961130579
2011-10-06,3.0876715911598014,2.4213625771034755,-0.046335,2.4676975771034755
2011-10-07,3.0412768786358777,2.40797057951863,-0.046335,2.45430557951863
2011-10-10,3.194147265726431,2.453983812540118,-0.046335,2.500318812540118
2011-10-11,3.188298773790118,2.452386113681371,-0.046335,2.498721113681371
2011-10-12,3.2164308919615916,2.4601789275449852,-0.046335,2.5065139275449853
2011-10-13,3.2238990591626564,2.4622630835429393,-0.046335,2.5085980835429393
2011-10-14,3.2976881779289213,2.483011665028382,-0.046335,2.529346665028382
2011-10-17,3.223337514690259,2.462664342994052,-0.046335,2.508999342994052
2011-10-18,3.2894022658308577,2.4807286406666194,-0.046335,2.5270636406666194
2011-10-19,3.233490312129314,2.465710080596937,-0.046335,2.512045080596937
2011-10-20,3.2456975700036796,2.4691282004096418,-0.046335,2.5154632004096418
2011-10-21,3.328252975187553,2.494448169960234,-0.046335,2.540783169960234
2011-10-24,3.4300595911470024,2.5248127394726394,-0.046335,2.5711477394726394
2011-10-25,3.333282129484439,2.496591290498708,-0.046335,2.542926290498708
2011-10-26,3.3738594635498433,2.508238362678638,-0.046335,2.554573362678638
2011-10-27,3.5285579778019462,2.5550609509308346,-0.046335,2.6013959509308346
2011-10-28,3.5334316044202003,2.556435086059398,-0.046335,2.602770086059398
2011-10-31,3.460494688875733,2.534326201494982,-0.04677,2.581096201494982
2011-11-01,3.375256062187723,2.5055645551412864,-0.04677,2.5523345551412864
2011-11-02,3.4387801990040225,2.5270943312217886,-0.04677,2.5738643312217886
2011-11-03,3.524901732007155,2.556413199266773,-0.04677,2.603183199266773
2011-11-04,3.5169730195390745,2.5537040420624972,-0.04677,2.600474042062497
2011-11-07,3.515025808762891,2.553024941911378,-0.04677,2.599794941911378
2011-11-08,3.543611582530459,2.5640590504090133,-0.04677,2.6108290504090133
2011-11-09,3.4246249561040516,2.518162638094135,-0.04677,2.564932638094135
2011-11-10,3.4546447719871543,2.5289564513421503,-0.04677,2.5757264513421503
2011-11-11,3.529921655381256,2.5558841783391517,-0.04677,2.6026541783391517
2011-11-14,3.491779629822262,2.5423446592129557,-0.04677,2.5891146592129557
2011-11-15,3.520029000088658,2.5526830079270226,-0.04677,2.5994530079270226
2011-11-16,3.4359045112197055,2.5215583450882844,-0.04677,2.5683283450882843
2011-11-17,3.377288895855182,2.5000778181703533,-0.04677,2.5468478181703533
2011-11-18,3.3705777804762,2.497652800398222,-0.04677,2.544422800398222
2011-11-21,3.3103579758701986,2.475207151808822,-0.04677,2.521977151808822
2011-11-22,3.316598594661756,2.4776416590782264,-0.04677,2.5244116590782264
2011-11-23,3.2305009547998926,2.4424397528077444,-0.04677,2.4892097528077444
2011-11-25,3.216619085840243,2.4368694320647646,-0.04677,2.4836394320647646
2011-11-28,3.341059352155808,2.4968758342903485,-0.04677,2.5436458342903485
2011-11-29,3.3482736357762795,2.499874422084251,-0.04677,2.546644422084251
2011-11-30,3.50220528895201,2.5653376702437822,-0.047099999999999996,2.612437670243782
2011-12-01,3.496184890491998,2.5630493492955515,-0.047099999999999996,2.6101493492955514
2011-12-02,3.4976627985552735,2.5636215081707694,-0.047099999999999996,2.6107215081707693
2011-12-05,3.5301495805308747,2.576705551651953,-0.047099999999999996,2.623805551651953
2011-12-06,3.5243646311407826,2.574396509640082,-0.047099999999999996,2.6214965096400817
2011-12-07,3.520646648427218,2.5729118578441366,-0.047099999999999996,2.6200118578441365
2011-12-08,3.442037376547101,2.5413716883352397,-0.047099999999999996,2.5884716883352397
2011-12-09,3.5221831600260343,2.5753144685300664,-0.047099999999999996,2.6224144685300663
2011-12-12,3.46241961251914,2.551001279043224,-0.047099999999999996,2.598101279043224
2011-12-13,3.393304214116486,2.522351914663873,-0.047099999999999996,2.569451914663873
2011-12-14,3.329406314943018,2.49615062380036,-0.047099999999999996,2.54325062380036
2011-12-15,3.3542529619683767,2.50628718707484,-0.047099999999999996,2.55338718707484
2011-12-16,3.3839862598487187,2.5187263050662394,-0.047099999999999996,2.5658263050662393
2011-12-19,3.3392952082027083,2.4998319693982305,-0.047099999999999996,2.5469319693982304
2011-12-20,3.4640563697424644,2.5521976082927056,-0.047099999999999996,2.5992976082927055
2011-12-21,3.4557000839242518,2.5489489895073603,-0.047099999999999996,2.59604898950736
2011-12-22,3.4694714737243117,2.554300518351763,-0.047099999999999996,2.601400518351763
2011-12-23,3.510751433732392,2.5712088570992697,-0.047099999999999996,2.6183088570992696
