Date,Turnover_sum,Cost_sum,adds,drops,kept
2003-11-30,0.21999999999999997,0.00032999999999999994,22,22,78
2003-12-31,0.22999999999999998,0.000345,23,23,77
2004-01-31,0.22999999999999995,0.00034499999999999993,23,23,77
2004-02-29,0.18,0.00027,18,18,82
2004-03-31,0.19000000000000006,0.0002850000000000001,19,19,81
2004-04-30,0.20999999999999996,0.00031499999999999996,21,21,79
2004-05-31,0.24,0.00035999999999999997,24,24,76
2004-06-30,0.24,0.00035999999999999997,24,24,76
2004-07-31,0.16999999999999996,0.00025499999999999996,17,17,83
2004-08-31,0.27,0.00040500000000000003,27,27,73
2004-09-30,0.26,0.00039000000000000005,26,26,74
2004-10-31,0.22000000000000006,0.0003300000000000001,22,22,78
2004-11-30,0.24,0.00035999999999999997,24,24,76
2004-12-31,0.15999999999999998,0.00023999999999999998,16,16,84
2005-01-31,0.19999999999999996,0.0002999999999999999,20,20,80
2005-02-28,0.19,0.000285,19,19,81
2005-03-31,0.19,0.000285,19,19,81
2005-04-30,0.16000000000000003,0.00024000000000000006,16,16,84
2005-05-31,0.29000000000000004,0.00043500000000000006,29,29,71
2005-06-30,0.14999999999999997,0.00022499999999999997,15,15,85
2005-07-31,0.17,0.000255,17,17,83
2005-08-31,0.20999999999999996,0.00031499999999999996,21,21,79
2005-09-30,0.19999999999999996,0.0002999999999999999,20,20,80
2005-10-31,0.16000000000000006,0.0002400000000000001,16,16,84
2005-11-30,0.2300000000000001,0.00034500000000000015,23,23,77
2005-12-31,0.17999999999999988,0.00026999999999999984,18,18,82
2006-01-31,0.14999999999999997,0.00022499999999999997,15,15,85
2006-02-28,0.20999999999999996,0.00031499999999999996,21,21,79
2006-03-31,0.16999999999999996,0.00025499999999999996,17,17,83
2006-04-30,0.13000000000000006,0.0001950000000000001,13,13,87
2006-05-31,0.27,0.00040500000000000003,27,27,73
2006-06-30,0.11000000000000003,0.00016500000000000005,11,11,89
2006-07-31,0.15999999999999992,0.0002399999999999999,16,16,84
2006-08-31,0.24,0.00035999999999999997,24,24,76
2006-09-30,0.19999999999999996,0.0002999999999999999,20,20,80
2006-10-31,0.18000000000000005,0.00027000000000000006,18,18,82
2006-11-30,0.21999999999999997,0.00032999999999999994,22,22,78
2006-12-31,0.19999999999999996,0.0002999999999999999,20,20,80
2007-01-31,0.18000000000000005,0.00027000000000000006,18,18,82
2007-02-28,0.19999999999999996,0.0002999999999999999,20,20,80
2007-03-31,0.22000000000000003,0.00033000000000000005,22,22,78
2007-04-30,0.24999999999999994,0.0003749999999999999,25,25,75
2007-05-31,0.21,0.000315,21,21,79
2007-06-30,0.22999999999999998,0.000345,23,23,77
2007-07-31,0.16,0.00024,16,16,84
2007-08-31,0.36,0.00054,36,36,64
2007-09-30,0.17999999999999997,0.00026999999999999995,18,18,82
2007-10-31,0.20999999999999996,0.00031499999999999996,21,21,79
2007-11-30,0.2,0.00030000000000000003,20,20,80
2007-12-31,0.16999999999999998,0.00025499999999999996,17,17,83
2008-01-31,0.22999999999999998,0.000345,23,23,77
2008-02-29,0.22000000000000003,0.00033000000000000005,22,22,78
2008-03-31,0.18999999999999995,0.00028499999999999993,19,19,81
2008-04-30,0.16999999999999993,0.0002549999999999999,17,17,83
2008-05-31,0.19,0.000285,19,19,81
2008-06-30,0.13,0.00019500000000000002,13,13,87
2008-07-31,0.20999999999999996,0.00031499999999999996,21,21,79
2008-08-31,0.27,0.00040500000000000003,27,27,73
2008-09-30,0.24000000000000002,0.00036,24,24,76
2008-10-31,0.34,0.00051,34,34,66
2008-11-30,0.26,0.00039000000000000005,26,26,74
2008-12-31,0.24,0.00035999999999999997,24,24,76
2009-01-31,0.16000000000000003,0.00024000000000000006,16,16,84
2009-02-28,0.21000000000000002,0.000315,21,21,79
2009-03-31,0.24,0.00035999999999999997,24,24,76
2009-04-30,0.19999999999999998,0.0003,20,20,80
2009-05-31,0.27,0.00040500000000000003,27,27,73
2009-06-30,0.26,0.00039000000000000005,26,26,74
2009-07-31,0.19999999999999996,0.0002999999999999999,20,20,80
2009-08-31,0.29000000000000004,0.00043500000000000006,29,29,71
2009-09-30,0.22999999999999998,0.000345,23,23,77
2009-10-31,0.44999999999999996,0.0006749999999999999,45,45,55
2009-11-30,0.33000000000000007,0.0004950000000000001,33,33,67
2009-12-31,0.29,0.000435,29,29,71
2010-01-31,0.14999999999999997,0.00022499999999999997,15,15,85
2010-02-28,0.23999999999999996,0.00035999999999999997,24,24,76
2010-03-31,0.34,0.00051,34,34,66
2010-04-30,0.21,0.000315,21,21,79
2010-05-31,0.21999999999999995,0.00032999999999999994,22,22,78
2010-06-30,0.21000000000000008,0.0003150000000000001,21,21,79
2010-07-31,0.14999999999999997,0.00022499999999999997,15,15,85
2010-08-31,0.20999999999999996,0.00031499999999999996,21,21,79
2010-09-30,0.20000000000000004,0.0003000000000000001,20,20,80
2010-10-31,0.22999999999999993,0.0003449999999999999,23,23,77
2010-11-30,0.22999999999999995,0.00034499999999999993,23,23,77
2010-12-31,0.16999999999999998,0.00025499999999999996,17,17,83
2011-01-31,0.19999999999999996,0.0002999999999999999,20,20,80
2011-02-28,0.22999999999999993,0.0003449999999999999,23,23,77
2011-03-31,0.23999999999999994,0.0003599999999999999,24,24,76
2011-04-30,0.15999999999999998,0.00023999999999999998,16,16,84
2011-05-31,0.3,0.00045,30,30,70
2011-06-30,0.18,0.00027,18,18,82
2011-07-31,0.21999999999999997,0.00032999999999999994,22,22,78
2011-08-31,0.29,0.000435,29,29,71
2011-09-30,0.22999999999999998,0.000345,23,23,77
2011-10-31,0.29000000000000004,0.00043500000000000006,29,29,71
2011-11-30,0.21999999999999997,0.00032999999999999994,22,22,78
2011-12-31,0.22000000000000003,0.00033000000000000005,22,22,78
2012-01-31,0.18999999999999995,0.00028499999999999993,19,19,81
2012-02-29,0.24000000000000002,0.00036,24,24,76
2012-03-31,0.18,0.00027,18,18,82
2012-04-30,0.14999999999999997,0.00022499999999999997,15,15,85
2012-05-31,0.20999999999999996,0.00031499999999999996,21,21,79
2012-06-30,0.2699999999999999,0.00040499999999999987,27,27,73
2012-07-31,0.23000000000000004,0.00034500000000000004,23,23,77
2012-08-31,0.26,0.00039000000000000005,26,26,74
2012-09-30,0.28,0.00042000000000000007,28,28,72
2012-10-31,0.24,0.00035999999999999997,24,24,76
2012-11-30,0.2700000000000001,0.00040500000000000014,27,27,73
2012-12-31,0.25,0.000375,25,25,75
2013-01-31,0.18999999999999997,0.000285,19,19,81
2013-02-28,0.24999999999999994,0.0003749999999999999,25,25,75
2013-03-31,0.20999999999999994,0.0003149999999999999,21,21,79
2013-04-30,0.20999999999999988,0.00031499999999999985,21,21,79
2013-05-31,0.24999999999999997,0.00037499999999999995,25,25,75
2013-06-30,0.30999999999999994,0.0004649999999999999,31,31,69
2013-07-31,0.22999999999999993,0.0003449999999999999,23,23,77
2013-08-31,0.2300000000000001,0.00034500000000000015,23,23,77
2013-09-30,0.14999999999999994,0.0002249999999999999,15,15,85
