Date,Selection (raw),VolTargeting adj,Transaction Cost drag,Net
2006-03-06,2.437041902230853,1.3604287487334847,-0.02679,1.3872187487334848
2006-03-07,2.3612370533669242,1.3344491183587088,-0.02679,1.361239118358709
2006-03-08,2.343856231569191,1.3288187678756134,-0.02679,1.3556087678756135
2006-03-09,2.3089336047520064,1.31634283768329,-0.02679,1.34313283768329
2006-03-10,2.359737305145595,1.3344712388873479,-0.02679,1.361261238887348
2006-03-13,2.369011690678423,1.3376885748410254,-0.02679,1.3644785748410255
2006-03-14,2.4365844116151747,1.3611825463679001,-0.02679,1.3879725463679002
2006-03-15,2.4708162832394556,1.3726988300606204,-0.02679,1.3994888300606205
2006-03-16,2.471816728693819,1.37303534330485,-0.02679,1.3998253433048502
2006-03-17,2.4936326450936726,1.3803983425009965,-0.02679,1.4071883425009966
2006-03-20,2.495659229048336,1.3811276608415213,-0.02679,1.4079176608415214
2006-03-21,2.4406704842411338,1.3613343148609642,-0.02679,1.3881243148609643
2006-03-22,2.457459560861902,1.3672141523998298,-0.02679,1.3940041523998299
2006-03-23,2.482888302884,1.3760773840760656,-0.02679,1.4028673840760657
2006-03-24,2.540818434669298,1.3961206410760871,-0.02679,1.4229106410760872
2006-03-27,2.579441503474161,1.4089920144708565,-0.02679,1.4357820144708566
2006-03-28,2.5520728118217444,1.40000421725737,-0.02679,1.42679421725737
2006-03-29,2.6207230056287014,1.4243563556723595,-0.02679,1.4511463556723596
2006-03-30,2.6048895463526898,1.4187070371924886,-0.02679,1.4454970371924887
2006-03-31,2.617944887096861,1.423411872499941,-0.02715,1.450561872499941
2006-04-03,2.603166714967291,1.4180136868598017,-0.02715,1.4451636868598017
2006-04-04,2.6143736077481896,1.4222585421563445,-0.02715,1.4494085421563445
2006-04-05,2.6665034856265413,1.4450745461750722,-0.02715,1.4722245461750723
2006-04-06,2.6725160241089876,1.447680716895038,-0.02715,1.474830716895038
2006-04-07,2.619662810767146,1.4232659962746967,-0.02715,1.4504159962746968
2006-04-10,2.611913277434221,1.4199063984308493,-0.02715,1.4470563984308493
2006-04-11,2.5683352460805553,1.4011618627652305,-0.02715,1.4283118627652305
2006-04-12,2.6003590306065134,1.4152980286000258,-0.02715,1.4424480286000259
2006-04-13,2.604450155905527,1.4171057654950734,-0.02715,1.4442557654950734
2006-04-17,2.604326052683515,1.41705091928459,-0.02715,1.44420091928459
2006-04-18,2.6987896150547916,1.4589964621794866,-0.02715,1.4861464621794866
2006-04-19,2.750875058398727,1.4789860084934703,-0.02715,1.5061360084934703
2006-04-20,2.7396092476240006,1.47442578590196,-0.02715,1.50157578590196
