Date,Turnover_sum,Cost_sum,adds,drops,kept
2011-03-31,0.3400000000000001,0.0005100000000000001,17,17,33
2011-04-30,0.17999999999999994,0.0002699999999999999,9,9,41
2011-05-31,0.3399999999999999,0.0005099999999999999,17,17,33
2011-06-30,0.33999999999999997,0.0005099999999999999,17,17,33
2011-07-31,0.22,0.00033,11,11,39
2011-08-31,0.28,0.00042000000000000007,14,14,36
2011-09-30,0.4,0.0006000000000000001,20,20,30
2011-10-31,0.4,0.0006000000000000001,20,20,30
2011-11-30,0.32000000000000006,0.0004800000000000001,16,16,34
2011-12-31,0.24,0.00035999999999999997,12,12,38
2012-01-31,0.28,0.00042000000000000007,14,14,36
2012-02-29,0.42000000000000004,0.00063,21,21,29
2012-03-31,0.26,0.00039000000000000005,13,13,37
2012-04-30,0.24,0.00035999999999999997,12,12,38
2012-05-31,0.30000000000000004,0.0004500000000000001,15,15,35
2012-06-30,0.28,0.00042000000000000007,14,14,36
2012-07-31,0.30000000000000004,0.0004500000000000001,15,15,35
2012-08-31,0.38,0.00057,19,19,31
2012-09-30,0.27999999999999997,0.00041999999999999996,14,14,36
2012-10-31,0.33999999999999997,0.0005099999999999999,17,17,33
2012-11-30,0.42000000000000004,0.00063,21,21,29
2012-12-31,0.30000000000000004,0.0004500000000000001,15,15,35
2013-01-31,0.21999999999999992,0.0003299999999999999,11,11,39
2013-02-28,0.30000000000000004,0.0004500000000000001,15,15,35
2013-03-31,0.38000000000000006,0.0005700000000000001,19,19,31
2013-04-30,0.30000000000000004,0.0004500000000000001,15,15,35
2013-05-31,0.36,0.00054,18,18,32
2013-06-30,0.21999999999999997,0.00032999999999999994,11,11,39
2013-07-31,0.30000000000000004,0.0004500000000000001,15,15,35
2013-08-31,0.33999999999999997,0.0005099999999999999,17,17,33
2013-09-30,0.24000000000000005,0.0003600000000000001,12,12,38
2013-10-31,0.26,0.00039000000000000005,13,13,37
2013-11-30,0.24,0.00035999999999999997,12,12,38
2013-12-31,0.19999999999999998,0.0003,10,10,40
2014-01-31,0.27999999999999997,0.00041999999999999996,14,14,36
2014-02-28,0.24,0.00035999999999999997,12,12,38
2014-03-31,0.28000000000000014,0.00042000000000000023,14,14,36
2014-04-30,0.26000000000000006,0.0003900000000000001,13,13,37
2014-05-31,0.24000000000000007,0.00036000000000000013,12,12,38
2014-06-30,0.22000000000000006,0.0003300000000000001,11,11,39
2014-07-31,0.25999999999999995,0.00038999999999999994,13,13,37
2014-08-31,0.44000000000000006,0.0006600000000000001,22,22,28
2014-09-30,0.27999999999999997,0.00041999999999999996,14,14,36
